"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"FLEXIBLE EXOSKELETON MASK WITH INFLATING SEAL MEMBER","US10293131 (B2); US2015128954 (A1)","2015-05-14","SMITH DANIEL JOHN [NZ];  HUDDART BRETT JOHN [NZ];  ADAMS MATTHEW JAMES [NZ];  HOBSON NICHOLAS ALEXANDER [NZ];  SHARP TIMOTHY JAMES BERESFORD [NZ];  BARSTEN TROY [NZ];  OLSEN GREGORY JAMES [NZ];  STEPHENSON MATTHEW ROGER [NZ];  PATEL ROHEET [NZ]","FISHER & PAYKEL HEALTHCARE LTD [NZ]","A61M16/06; A61M16/00; A61M16/08; A61M16/10; A61M16/16; A61M16/20","A61M16/0003; A61M16/0066; A61M16/0069; A61M16/06; A61M16/0616; A61M16/0622; A61M16/0683; A61M16/0825; A61M16/0875; A61M16/109; A61M16/161; A61M16/20; A61M16/208; A61M2016/0027; A61M2016/003; A61M2016/0039; A61M16/024; A61M16/0858; A61M16/1095; A61M16/16; A61M2205/15; A61M2205/332; A61M2205/3331; A61M2205/3334; A61M2205/3368; A61M2205/42; A61M2205/52; A61M2206/10; A61M2206/16","US201514599940","20150119","US201514599940 20150119; WO2012NZ00105 20120622; US201213518713 20120622; WO2010IB03466 20101222; US201161500578P 20110623; US20090289641P 20091223; US20100391514P 20101008","US4630604 (A); US2005172969 (A1); US2009223523 (A1); US2003029454 (A1); US7448386 (B2); US2011146685 (A1); US2011108036 (A1); US2010199992 (A1); US2011048425 (A1); US2010258133 (A1); US2007044797 (A1); US2015128945 (A1); US4630604 (A); US2009223523 (A1); US2011146685 (A1); US2003029454 (A1); US2011108036 (A1); US2005172969 (A1); US2011048425 (A1); US7448386 (B2); US2015128945 (A1); US2010258133 (A1); US2010199992 (A1); US2007044797 (A1); US4630604 (A); US7448386 (B2); US2003029454 (A1); US2005172969 (A1); US2007044797 (A1); US2009223523 (A1); US2010199992 (A1); US2010258133 (A1); US2011048425 (A1); US2011108036 (A1); US2011146685 (A1); US2015128945 (A1)","","","","","","","","US7649933 (B2); US2005098183 (A1); US2007107733 (A1); US2009032026 (A1); US2009145429 (A1); US2009178680 (A1); US2010263669 (A1); US2010319688 (A1); GB2267648 (A); WO0038772 (A1); WO0211804 (A2); WO2004096332 (A1); WO2005063327 (A1); WO2005123166 (A1); WO2006130903 (A1); WO2009108995 (A1); WO2010066004 (A1); WO2011060479 (A1); WO2011077254 (A2); WO2011125061 (A2)","","","","",""
"PROSTHETIC, ORTHOTIC OR EXOSKELETON DEVICE","US2015127118 (A1)","2015-05-07","HERR HUGH MILLER [US];  HAN ZHIXIU [US];  BARNHART CHRISTOPHER ERIC [US];  CASLER JR RICHARD J [US]","IWALK INC [US]","A61F2/60; A61F2/68","A61B5/112; A61B5/4851; A61F2/60; A61F2/68; A61F2002/5003; A61F2002/503; A61F2002/5033; A61F2002/607; A61F2/64; A61F2/6607; A61F2002/701; A61F2002/704; A61F2002/7625; A61F2002/7635; A61F2002/764; A61F2002/7645; A61F2002/765","US201314407656","20130612","US201314407656 20130612; US201261662104P 20120620; WO2013US45356 20130612; US201261658568P 20120612","US5282460 (A); US2006249315 (A1); US2009192619 (A1); US2010113980 (A1); US6610101 (B2); US3449769 (A); US9724211 (B1); US6610101 (B2); US9724211 (B1); US2006249315 (A1); US2010113980 (A1); US2009192619 (A1); US5282460 (A)","","","","","","","","","","","","",""
"EXOSKELETON ARM HAVING AN ACTUATOR","US2015119998 (A1); US9375325 (B2)","2015-04-30","GARREC PHILIPPE [FR];  PERROT YANN [FR];  PONSORT DOMINIQUE [FR];  RIGLET AURELIE [FR]","COMMISSARIAT ENERGIE ATOMIQUE [FR]","A61F2/54","A61F2/54; B25J9/0006; A61F2002/5018; A61F2002/5038; A61F2002/5066; A61F2002/5081; A61F2002/5093; A61F2002/5096; A61F2002/543; A61F2002/546; A61F2/58; A61F2/581; A61F2/582; A61F2/583; A61F2/585; A61F2/68; A61F2/78; A61F2002/7862","US201314395865","20130528","WO2013EP60918 20130528; FR20120055177 20120604","US2535489 (A); US3449769 (A); US4373517 (A); US4669451 (A); US4836195 (A); US4862878 (A); US4896660 (A); US5033461 (A); US5167612 (A); US5213094 (A); US5282460 (A); US5312322 (A); US5383844 (A); US5385536 (A); US5399154 (A); US5437619 (A); US5624398 (A); US5685830 (A); US5759165 (A); US5800561 (A); US6104379 (A); US6113562 (A); US6821259 (B2); US7252644 (B2); US7337007 (B2); US7410338 (B2); US7481782 (B2); US7524294 (B1); US7563236 (B2); US7670306 (B2); US7841998 (B2); US7862524 (B2); US8005651 (B2); US8038637 (B2); US8066656 (B2); US8083694 (B2); US8251934 (B2); US8273043 (B2); US8277396 (B2); US8323355 (B2); US8347710 (B2); US8366647 (B2); US8409118 (B2); US8585620 (B2); US8613716 (B2); US8622939 (B2); US8641782 (B2); US8795207 (B2); US8801639 (B2); US8821588 (B2); US8834169 (B2); US8905950 (B2); US2015018737 (A1); US2015018739 (A1); US8926534 (B2); US8986234 (B2); US8998833 (B1); US9017271 (B2); US9144528 (B2); US2535489 (A); US3449769 (A); US4373517 (A); US4669451 (A); US4836195 (A); US4862878 (A); US4896660 (A); US5033461 (A); US5167612 (A); US5213094 (A); US5282460 (A); US5312322 (A); US5383844 (A); US5385536 (A); US5399154 (A); US5437619 (A); US5624398 (A); US5685830 (A); US5759165 (A); US5800561 (A); US6104379 (A); US6113562 (A); US6821259 (B2); US7252644 (B2); US7337007 (B2); US7410338 (B2); US7481782 (B2); US7524294 (B1); US7563236 (B2); US7670306 (B2); US7841998 (B2); US7862524 (B2); US8005651 (B2); US8038637 (B2); US8066656 (B2); US8083694 (B2); US8251934 (B2); US8273043 (B2); US8277396 (B2); US8323355 (B2); US8347710 (B2); US8366647 (B2); US8409118 (B2); US8585620 (B2); US8613716 (B2); US8622939 (B2); US8641782 (B2); US8795207 (B2); US8801639 (B2); US8821588 (B2); US8834169 (B2); US8905950 (B2); US8926534 (B2); US8986234 (B2); US8998833 (B1); US9017271 (B2); US9144528 (B2); US2015018737 (A1); US2015018739 (A1); US2015119998 (A1)","","","","","","","","US4180870 (A); FR2949669 (A1)","","","","",""
"ULTRASOUND SYSTEM FOR REAL-TIME TRACKING OF MULTIPLE, IN-VIVO STRUCTURES","US2015112451 (A1)","2015-04-23","DECHEV NIKOLAI [CA];  STEGMAN KELLY [CA]","DECHEV NIKOLAI [CA];  STEGMAN KELLY [CA]","A61F2/54; A61B8/00","A61B8/085; A61B8/4227; A61B8/4455; A61B8/4494; A61B8/5223; A61F2/54; A61F2/583; A61F2/68; A61F2002/543; A61F2002/701; A61F2002/7625; A61F2002/7635","US201314058022","20131018","US201314058022 20131018","US2008294052 (A1); US2003144591 (A1); US2009129640 (A1)","","","","","","","","","","","","",""
"Exoskeleton combo case","USD726701 (S)","2015-04-14","STEVINSON DEAN [US]","STEVINSON DEAN [US]","","","US201329445397F","20130211","US201329445397F 20130211","","","","","","","","","","","","","",""
"ROBOTIC MECHANISM WITH TWO DEGREES OF FREEDOM","US2015047452 (A1); US9550299 (B2)","2015-02-19","WOLF ALON [IL];  SALOMON ODED [IL]","TECHNION RES & DEV FOUNDATION [IL]","B25J17/00","B25J17/00; B25J17/0275; Y10S901/28; Y10T74/20329","US201214361326","20121129","US201161564454P 20111129; US201214361326 20121129; WO2012IL00383 20121129","US4990050 (A); US4997413 (A); US6871563 (B2); US4990050 (A); US4997413 (A); US6871563 (B2)","","","","","","","","US4683406 (A)","","","","",""
"Human Machine Interface for Lower Extremity Orthotics","US10179079 (B2); US2015045703 (A1)","2015-02-12","STRAUSSER KATHERINE [US];  ZOSS ADAM [US];  STRYKER JAMES ALEXANDER [US];  AMUNDSON KURT REED [US]","EKSO BIONICS INC [US]","A61H3/00","A61B5/112; A61H1/0255; A61H3/00; G09B19/0038; A61B2562/0219; A61B2562/0223; A61B2562/0247; A61H3/02; A61H2201/1616; A61H2201/163; A61H2201/1642; A61H2201/165; A61H2201/5007; A61H2201/5025; A61H2201/5028; A61H2201/5061; A61H2201/5064; A61H2201/5069; A61H2201/5079; A61H2201/5084; G05B2219/40305","US201314387093","20130322","US201314387093 20130322; US201261614255P 20120322; US201261615584P 20120326; WO2013US33472 20130322","US2007050045 (A1); US2007123997 (A1); US2011082566 (A1); US2011105966 (A1); US2012172770 (A1); US2013197408 (A1); US2012172770 (A1); US2007050045 (A1); US2007123997 (A1); US2013197408 (A1); US2011105966 (A1); US2011082566 (A1); US2007050045 (A1); US2007123997 (A1); US2011082566 (A1); US2011105966 (A1); US2012172770 (A1); US2013197408 (A1)","","","","","","","","US8070700 (B2); US8096965 (B2); US8142370 (B2); US8142371 (B2); US8171570 (B2); US8366788 (B2); US2008234113 (A1); US2009062698 (A1); US2010094188 (A1); US2010114329 (A1); US2010125229 (A1); US2010179668 (A1); US2011040216 (A1); US2011066088 (A1); US2011270146 (A1); JP2010148637 (A); JP2010148759 (A)","","","","",""
"MOULD EQUIPMENT FOR PIPELINE SECTION COATING AND METHODS FOR COATING OF PIPELINE SECTIONS WITH MOULDS","US10071515 (B2); US2015044320 (A1)","2015-02-12","GEORGE MICHAEL [GB];  DIBBLE ANTHONY [GB];  BARKER NICHOLAS [GB]","PIPELINE INDUCTION HEAT LTD [GB]","B29C33/30; B29D23/00; H05B6/10; H05B6/38","B29C33/00; B29C33/302; B29C33/307; B29C45/14; B29C45/1459; B29C45/14598; B29C45/1744; B29D23/00; F16L53/00; F16L53/005; F16L55/162; F16L55/26; F16L58/00; F16L58/10; F16L58/1054; F16L58/109; F16L58/181; F16L59/20; F16L59/22; H05B6/101; H05B6/38; B29C2791/003; B29D23/001; B29K2509/08; B29L2023/001; B29L2023/004","US201414454081","20140807","GB20130014340 20130809","US4852391 (A); US2007062933 (A1); JP2002036363 (A); US6031371 (A); US4852391 (A); US6031371 (A); US2007062933 (A1); JP2002036363 (A)","","","","","","","","EP0190103 (A2); EP0825435 (A1); EP1415897 (A2); EP1626220 (A1); FR2565157 (A1); GB1220349 (A); GB2334318 (A); WO2007086666 (A1)","XP055067073","","","",""
"ROTATING SHIPPING AND STORAGE CONTAINER","US2015044012 (A1)","2015-02-12","PITTS PAUL CHRISTOPHER [US]","PITTS PAUL CHRISTOPHER [US];  COMMODITY SHIPPING SOLUTIONS LLC [US]","B65D88/12; B65D88/02; B65G65/00","B65D88/02; B65D88/128; B65D88/54; B65G65/00; B65G53/40","US201314084332","20131119","US201314084332 20131119; US201361862965P 20130807","","","","","","","","","","","US5445289 (A)","","",""
"COMPACT COMBINED HABITATION MODULE AND UTILITY RACK WITH MULTIPLE DEPLOYMENT MODES","US2015027067 (A1); US9163395 (B2)","2015-01-29","FINNEY GARRETT STEVENS [US]","TAXA INC [US]","E04B1/343; E04H1/12; E04H9/00","E04B1/34336; E04B1/34363; E04H1/12; E04H1/1205; E04H9/00","US201414338387","20140723","US201414338387 20140723; US201361857765P 20130724","US3652119 (A); US5755062 (A); US6155279 (A); US6283536 (B1); US6282848 (B1); US2002194796 (A1); US2005235819 (A1); US2010024317 (A1); US2010088974 (A1); US2011209418 (A1); USD661229S (S); US2004177568 (A1); US6550216 (B1); US3652119 (A); US5755062 (A); US6155279 (A); US6282848 (B1); US6283536 (B1); US6550216 (B1); USD661229S (S); US2002194796 (A1); US2004177568 (A1); US2005235819 (A1); US2010024317 (A1); US2010088974 (A1); US2011209418 (A1)","","","","","","","","","","","","",""
"LOAD AND TORQUE RESISTANT CALIPER EXOSKELETON","US2015016923 (A1); US9095981 (B2)","2015-01-15","BROWN GARRETT W [US]","BROWN GARRETT W [US]","B25J13/00; B66F11/00","A61F5/01; B25J9/0006; B25J13/00; B66F11/00; F16M13/04; G03B17/561","US201314371334","20130110","US201261585424P 20120111; WO2013US20974 20130110; US201314371334 20130110","US4208028 (A); US4394075 (A); USRE32213E (E); US5435515 (A); US2003223844 (A1); US2005258210 (A1); US2005279796 (A1); US7445138 (B2); US7571839 (B2); US2010059652 (A1); US7857774 (B2); US2011066088 (A1); US2011164949 (A1); US8060945 (B2); US8142083 (B2); US8171570 (B2); US2012292361 (A1); US2013102935 (A1); US2013158445 (A1); US8474672 (B1); US8506180 (B2); US2013228602 (A1); US2013303950 (A1); US8641782 (B2); US2014064720 (A1); US2014100493 (A1); US2014121573 (A1); US2014200491 (A1); US2014276264 (A1); US2014276265 (A1); US2014276261 (A1); US2014366323 (A1); US8932241 (B2); US2015001269 (A1); US2015048134 (A1); US8968222 (B2); US8985878 (B2); US2015076196 (A1); US4208028 (A); US4394075 (A); USRE32213E (E); US5435515 (A); US7445138 (B2); US7571839 (B2); US7857774 (B2); US8060945 (B2); US8142083 (B2); US8171570 (B2); US8474672 (B1); US8506180 (B2); US8641782 (B2); US8932241 (B2); US8968222 (B2); US8985878 (B2); US2003223844 (A1); US2005258210 (A1); US2005279796 (A1); US2010059652 (A1); US2011066088 (A1); US2011164949 (A1); US2012292361 (A1); US2013102935 (A1); US2013158445 (A1); US2013228602 (A1); US2013303950 (A1); US2014064720 (A1); US2014100493 (A1); US2014121573 (A1); US2014200491 (A1); US2014276261 (A1); US2014276264 (A1); US2014276265 (A1); US2014366323 (A1); US2015001269 (A1); US2015016923 (A1); US2015048134 (A1); US2015076196 (A1)","","","","","","","","US3449769 (A); US3923166 (A); US3964182 (A); US4957320 (A); US5360196 (A); US6355335 (B1); US6666796 (B1); US6764231 (B1); US6923505 (B2); US2003004444 (A1); US2006260620 (A1); US2007056592 (A1); US2007241696 (A1); US2009210093 (A1); US2010254696 (A1); US2011166489 (A1); US2011214524 (A1); US2011266323 (A1); CN202682285 (A); GB1188647 (A); WO2010101595 (A1); WO2011127471 (A1)","","","","",""
"METHODS FOR CLOSED-LOOP NEURAL-MACHINE INTERFACE SYSTEMS FOR THE CONTROL OF WEARABLE EXOSKELETONS AND PROSTHETIC DEVICES","US10092205 (B2); US2015012111 (A1)","2015-01-08","CONTRERAS-VIDAL JOSE L [US];  PRASAD SAURABH [US];  KILICARSLAN ATILLA [US];  BHAGAT NIKUNJ [US]","CONTRERAS-VIDAL JOSE L [US];  PRASAD SAURABH [US];  KILICARSLAN ATILLA [US];  BHAGAT NIKUNJ [US];  UNIV HOUSTON [US]","A61B5/0476; A61B5/00; A61F2/72","A61B5/0476; A61B5/4851","US201414323320","20140703","US201414323320 20140703; US201361842673P 20130703","US2012071780 (A1); US2006167371 (A1); US2011028827 (A1); US2012101401 (A1); WO2011140303 (A1); US2006167371 (A1); US2011028827 (A1); US2012071780 (A1); US2012101401 (A1); WO2011140303 (A1)","","","","","","","","US7209788 (B2); US2006189901 (A1); US2006206167 (A1); US2014058528 (A1); WO2008151291 (A1); WO2011140303 (A1); WO03037231 (A1)","","","","",""
"EXOSKELETON ARM INTERFACE","US2015001269 (A1); US9719633 (B2)","2015-01-01","SACKSTEDER ANTHONY D [US]","SACKSTEDER ANTHONY D [US]","F16M13/04","B25J9/0006; B25J19/0016; B25J19/002; F16M13/04","US201214115684","20120504","US201161483386P 20110506; US201214115684 20120504; WO2012US36581 20120504","US4206983 (A); US4957320 (A); US2007056592 (A1); US2007241696 (A1); US2009210093 (A1); US2010254696 (A1); US2011266323 (A1); US4206983 (A); US4957320 (A); US2007056592 (A1); US2007241696 (A1); US2009210093 (A1); US2010254696 (A1); US2011266323 (A1)","","","","","","","","US3923166 (A); US5360196 (A)","","","","",""
"METHODS FOR OBSERVING SAMPLES AND PREPROCESSING THEREOF","US2014370540 (A1); US9086343 (B2)","2014-12-18","SHIONO MASAMICHI [JP];  NISHIMURA MASAKO [JP];  KONOMI MAMI [JP]","HITACHI HIGH TECH CORP [JP]","G01N1/30; G01N1/31","G01N1/28; G01N1/30; G01N1/31; G01N1/34; H01J37/20; G01N1/2806; H01J2237/2608; H01J2237/28","US201314376425","20130220","JP20120052470 20120309; WO2013JP54067 20130220","US2014264018 (A1); US2012270257 (A1); US2012148553 (A1); US2009280523 (A1); US2009173882 (A1); US2002198928 (A1); US7354733 (B2); US8343769 (B2); US6337540 (B1); US6337540 (B1); US7354733 (B2); US8343769 (B2); US2002198928 (A1); US2009173882 (A1); US2009280523 (A1); US2012148553 (A1); US2012270257 (A1); US2014264018 (A1)","","","","","","","","","","","","",""
"USER COUPLED HUMAN-MACHINE INTERFACE","US2014358290 (A1); US9158376 (B2)","2014-12-04","KAZEROONI HOMAYOON [US];  JEONG YOON JUNG [US];  KIM KYUNAM [US]","KAZEROONI HOMAYOON [US];  JEONG YOON JUNG [US];  KIM KYUNAM [US];  UNIV CALIFORNIA [US]","G05B15/02; G06F3/01","A61F4/00; A61H1/00; A61H3/00; B25J9/0006; G05B15/02; G06F3/011; G06F3/014; A61H1/024; A61H1/0244; A61H1/0262; A61H2201/1635; A61H2201/165; A61H2201/1652; A61H2201/5007; A61H2201/5035; A61H2201/5043; A61H2201/5048; A61H2201/5061; A61H2201/5097; A61H2203/0406; G05B2219/40305","US201414291101","20140530","US201414291101 20140530; US201361828885P 20130530","US6097369 (A); US6128004 (A); US2002067342 (A1); US2002175894 (A1); US7042438 (B2); US2009036804 (A1); US2010094188 (A1); US8035629 (B2); US2013158445 (A1); US2013231595 (A1); US2013237884 (A1); US8622938 (B2); US8648805 (B2); US8681101 (B1); WO2012048123 (A1); WO2012037555 (A1); WO2012027336 (A1); US6097369 (A); US6128004 (A); US7042438 (B2); US8035629 (B2); US8622938 (B2); US8648805 (B2); US8681101 (B1); US2002067342 (A1); US2002175894 (A1); US2009036804 (A1); US2010094188 (A1); US2013158445 (A1); US2013231595 (A1); US2013237884 (A1); WO2012027336 (A1); WO2012037555 (A1); WO2012048123 (A1)","","","","","","","","US6154199 (A); US6681638 (B2); US7057604 (B2); US7153242 (B2); US7628766 (B1); US7947004 (B2); US2006260620 (A1); US2007056592 (A1); US2011066088 (A1)","","","","",""
"HOBBY SERVO BLOCKS","US2014292162 (A1); US9825506 (B2)","2014-10-02","PETTEY BRIAN T [US]","ROBOTZONE LLC [US]","H02K7/08; F16C19/04","F16C19/04; F16C35/045; H02K7/08; H02K7/14; F16C2380/26","US201414301564","20140611","US201414301564 20140611; US201213593724 20120824; US201161550624P 20111024","US8816553 (B2); US2009179129 (A1); US7270589 (B1); US2006003865 (A1); US7270589 (B1); US8816553 (B2); US2006003865 (A1); US2009179129 (A1)","","","","","","","","US7285884 (B2); US7336009 (B2); US7501731 (B2); US7559129 (B2); US7671497 (B2); US7750517 (B2); US7795768 (B2); US7859151 (B2); US7891902 (B2); US7934691 (B2); US2009247045 (A1); US2011115344 (A1); US2012139468 (A1); US2012200510 (A1)","","","","",""
"FOOT PLATE ASSEMBLY FOR USE IN AN EXOSKELETON APPARATUS","US2014276265 (A1); US9808390 (B2)","2014-09-18","CAIRES THIAGO [CA];  PRYWATA MICHAL [CA]","BIONIK LAB INC [CA]","A61H3/00","A61H1/0255; A61H1/0266; A61H3/00; A61H2201/0103; A61H2201/1215; A61H2201/1284; A61H2201/1481; A61H2201/163; A61H2201/1642; A61H2201/165; A61H2201/1676","US201313839642","20130315","US201313839642 20130315","US2567195 (A); US5144943 (A); US6171272 (B1); US8870801 (B2); US4320748 (A); US2567195 (A); US4320748 (A); US5144943 (A); US6171272 (B1); US8870801 (B2)","","","","","","","","US3551914 (A); US3581740 (A); US3883053 (A); US4306320 (A); US4364128 (A); US4573455 (A); US4628945 (A); US4697808 (A); US4993409 (A); US5020515 (A); US5030239 (A); US5042799 (A); US5139525 (A); US5224403 (A); US5282460 (A); US5385538 (A); US5425780 (A); US5462517 (A); US5514081 (A); US5626557 (A); US5662693 (A); US5888213 (A); US5961541 (A); US6045524 (A); US6168056 (B1); US6361570 (B1); US6379393 (B1); US6669660 (B2); US6863695 (B2); US7190141 (B1); US7204814 (B2); US7390309 (B2); US7429253 (B2); US7448522 (B2); US7479121 (B2); US7544172 (B2); US7549969 (B2); US7731670 (B2); US7731674 (B2); US7819926 (B1); US7998096 (B1); US8096965 (B2); US8231688 (B2); US2003093021 (A1); US2003115954 (A1); US2004102723 (A1); US2005102111 (A1); US2006149338 (A1); US2006179577 (A1); US2006247904 (A1); US2008077057 (A1); US2008097269 (A1); US2008249438 (A1); US2009292369 (A1); US2010023133 (A1); US2010094182 (A1); US2010094185 (A1); US2010094188 (A1); US2010198124 (A1); US2011009787 (A1); US2011066088 (A1); US2011082566 (A1); US2011105966 (A1); US2011166489 (A1); US2011257764 (A1); US2011266323 (A1); US2011313331 (A1); US2012004581 (A1); US2012071797 (A1); US2012150086 (A1); US2012172770 (A1); US2012179075 (A1); US2012235417 (A1); US2012238914 (A1); US2013046218 (A1); CA2724085 (A1); CA2728340 (A1); CA2731612 (A1); CA2724062 (A1); CA2740438 (A1); CA2746327 (A1); CA2769975 (A1); CA2734469 (C); CN101938967 (A); CN102036638 (A); CN102065799 (A); CN102088933 (A); CN102098986 (A); EP1842518 (A1); EP1260201 (A1); EP2331026 (A1); EP2346447 (A1); EP2349121 (A2); EP2373276 (A1); EP2448540 (A1); EP2231096 (B1); EP2296602 (B1); EP2326288 (B1); KR20100106527 (A); WO2006078871 (A2); WO2009143161 (A1); WO2010005473 (A1); WO2010011848 (A1); WO2010019300 (A1); WO2010036791 (A1); WO2010044087 (A2); WO2010101595 (A1); WO2011002306 (A1); WO2011026086 (A1); WO2011127421 (A1); WO2012027336 (A1); WO2012037555 (A1); WO2012044621 (A1); WO2012048123 (A1); WO2012052988 (A2); WO2012100250 (A1); WO2012177125 (A1)","","","","",""
"STRAP ASSEMBLY FOR USE IN AN EXOSKELETON APPARATUS","US2014276264 (A1); US9421143 (B2)","2014-09-18","CAIRES THIAGO [CA];  PRYWATA MICHAL [CA]","BIONIK LAB INC [CA]","A61H3/00","A61H1/024; A61H1/0244; A61H1/0262; A61H1/0277; A61H1/0281; A61H3/00; B25J9/0006; A61H2003/007; A61H2201/0103; A61H2201/1463; A61H2201/165; A61H2201/5007; A61H2201/5071","US201313839027","20130315","US201313839027 20130315","US2012172770 (A1); US2006117464 (A1); US2009306564 (A1); US5487197 (A); US2011098615 (A1); US2001018565 (A1); US3993056 (A); US3868952 (A); US2009255531 (A1); US2008132818 (A1); US3868952 (A); US3993056 (A); US5487197 (A); US2001018565 (A1); US2006117464 (A1); US2008132818 (A1); US2009255531 (A1); US2009306564 (A1); US2011098615 (A1); US2012172770 (A1)","","","","","","","","US3551914 (A); US3581740 (A); US3883053 (A); US4306320 (A); US4364128 (A); US4573455 (A); US4628945 (A); US4697808 (A); US4993409 (A); US5020515 (A); US5030239 (A); US5042799 (A); US5139525 (A); US5282460 (A); US5385538 (A); US5425780 (A); US5462517 (A); US5514081 (A); US5626557 (A); US5662693 (A); US5888213 (A); US5961541 (A); US6045524 (A); US6168056 (B1); US6361570 (B1); US6379393 (B1); US6669660 (B2); US6863695 (B2); US7190141 (B1); US7204814 (B2); US7390309 (B2); US7429253 (B2); US7448522 (B2); US7479121 (B2); US7549969 (B2); US7731670 (B2); US7731674 (B2); US7819926 (B1); US8096965 (B2); US8231688 (B2); US2003093021 (A1); US2003114892 (A1); US2003115954 (A1); US2004102723 (A1); US2005102111 (A1); US2006149338 (A1); US2006179577 (A1); US2006247904 (A1); US2008077057 (A1); US2008097269 (A1); US2009292369 (A1); US2010023133 (A1); US2010094182 (A1); US2010094185 (A1); US2010094188 (A1); US2010198124 (A1); US2011009787 (A1); US2011066088 (A1); US2011082566 (A1); US2011105966 (A1); US2011166489 (A1); US2011266323 (A1); US2011313331 (A1); US2012004581 (A1); US2012071797 (A1); US2012179075 (A1); US2012235417 (A1); US2012238914 (A1); CA2724085 (A1); CA2728340 (A1); CA2731612 (A1); CA2724062 (A1); CA2734469 (A1); CA2740438 (A1); CA2746327 (A1); CA2769975 (A1); CN101938967 (A); CN102036638 (A); CN102065799 (A); CN102088933 (A); CN102098986 (A); CN102164571 (A); EP1260201 (A1); EP2231096 (A2); EP2296602 (A1); EP2326288 (A1); EP2331026 (A1); EP2346447 (A1); EP2349121 (A2); EP2373276 (A1); EP2448540 (A1); KR20100106527 (A); WO2006113520 (A2); WO2009081710 (A1); WO2009143161 (A1); WO2009151630 (A1); WO2010005473 (A1); WO2010011848 (A1); WO2010019300 (A1)","","","","",""
